Reviewer_score,Visit_date,Reviewer_name,Number_of_reviewers_reviews,Trip_type,Review_object_name,Review_year,Review_day_of_week,Country,Review_combined,Number_of_words_in_review,Reviewer_gender
5,1/6/2013,jozinzbazin,2   Reviews,couple,   areg hotel  ,2013,Monday,australia,fantastic and close to metro station nona the owner and her staff are always around and they will organise for you everything you need to feel like at homewe have spent in this hotel 3 nights in summer 2013 and we would not mind to come back again,48,unknown
4,1/9/2013,jkp204,22   Reviews,couple,   areg hotel  ,2013,Monday,uk,wonderful hotel at a great price we really enjoyed our stay at areg its location is good  five minutes from the station with an easy metro connection into republic square there are a number of small shops and an atm near the station as well so this is handy we thought the price was very good we had a lovely huge room and bathroom which was nicely furnished and cleaned every day breakfast is served outside in the nice courtyard and differs each morning the food was good although the portions were a little too big for us the staff were very friendly and spoke good english nvard kindly arranged a tour for us to lake sevan and she was extremely knowledgeable  thank you once again we had a wonderful day the hotel was also able to arrange a taxi for us to khor virap which was really helpful overall we really enjoyed our time at areg especially the hotels familyfeel we would happily return again and recommend to friends thankyou very much,173,male
3,1/7/2013,skoczmd,106   Reviews,friends,   areg hotel  ,2013,Sunday,poland,"comfortable but not a bargain very convenient location 10 minutes from main railway station in yerevan and metro line to city centre you reach republic square in another 10 minutes the parking near the station opposite side to hotel go via tunnel is also the starting point of marshrutkas to khor virap the streets leading to the hotel from the station are full of shops open till late we did shopping fruits water wine beer on the way to our hotel the area is residential and very quiet an oasis comparing to hot and hectic city centre 
the hotel has impressively large comfortable rooms with efficient air conditioning and nice bathrooms there is pleasant patio inside the complex with tables adn chairs where i used to sit after hot day in the city breakfasts are served in same patio not much varied but the kitchen was able and keen to accomodate to our requests 
the downfall of the place is communication problem of the staff they speak only basic english we arrived by train from tbilisi at 10 am in the morning and they wanted to charge us for early arrival 4 hours early but they failed to explain that in english to us if we did know that we could have taken our room after 2 pm and the hotel was not cheap after all
i would also advise against buying trips in their own touring agency information in the lobby same trips arevery convenient location 10 minutes from main railway station in yerevan and metro line to city centre you reach republic square in another 10 minutes the parking near the station opposite side to hotel go via tunnel is also the starting point of marshrutkas to khor virap the streets leading to the hotel from the station are full of shops open till late we did shopping fruits water wine beer on the way to our hotel the area is residential and very quiet an oasis comparing to hot and hectic city centre the hotel has impressively large comfortable rooms with efficient air conditioning and nice bathrooms there is pleasant patio inside the complex with tables adn chairs where i used to sit after hot day in the city breakfasts are served in same patio not much varied but the kitchen was able and keen to accomodate to our requests the downfall of the place is communication problem of the staff they speak only basic english we arrived by train from tbilisi at 10 am in the morning and they wanted to charge us for early arrival 4 hours early but they failed to explain that in english to us if we did know that we could have taken our room after 2 pm and the hotel was not cheap after alli would also advise against buying trips in their own touring agency information in the lobby same trips are substantially cheaper in the city centre the most popular company is huyr service app 20 cheaper than areg tours",502,unknown
5,1/8/2013,kragulj,72   Reviews,solo,   areg hotel  ,2013,Friday,slovenia,fine place in yerevan i stayed in areg hotel in yerevan for one week during my visit to armenia this summer it was very pleasant place to rest after doing a lot of travelling around yerevan and armenia the hotel is clean with spacious rooms well furnished and for a good price it is located in quiet residential area close to yerevan train station and metro the stuff is helpfull and friendly they can be a source of information about yerevan you can also find trips and tours around armenia at the tour desk in the hotel breakfasts are real armenian experience tastefull and delicious served in a small courtyard wifi is available in the yard and at the reception allthough you can catch weak signal in your room as well in the vicinty of this establishment its plenty of shops and other services wish to recomend this place to everyone who wants to visit yerevan,156,unknown
5,1/8/2013,Nomadcitizen,11   Reviews,family,   areg hotel  ,2013,Tuesday,netherlands,great experience at areg hotel areg hotel was for me like a oasis i was travelling with my son of 8 months old and my son of 10 years old the staff of the hotel were really dedicated to make my stay the best as possiblein terms of room my room was big enough quietconfortable enough and clean staff speak a very good english aside of the fact they speak also russian breakfast were different every day which i found good i did appreciate the easy walking distance from the train and metro stationi surely recommend this hotel i will defintely come back to areg hotel for my next visit in yerevan,112,unknown
5,1/8/2013,Adrian540,107   Reviews,family,   areg hotel  ,2013,Tuesday,uk,helpful staff handy location this is certainly a very good and pleasant hotel and i cannot imagine anyone being unhappy with it it is only a few minutes walk from the station which is also a good place to get taxis change money etc and is also signposted  straight ahead from the station something like the 3rd or 4th on the right we arrived off the night train at about 630am i think  they gave us a family room we were 5 people which was really spacious with stairs double bed below and twins above with an extra bed put in they did charge us for an extra half day for arriving early rooms beds hot water showers breakfast all very good and staff helpful with destinations etc we were particularly happy with the taxi they booked for us to goris  35000 for 5 people in a big car with the most wonderful friendly and genuine driver called ike who was only too happy to keep stopping along the way at khor virat or to buy honey take photos etc if you intend to visit goris or gyumri or anywhere stay here and ask for ike,196,male
5,1/7/2013,sandra L,1 review,couple,   areg hotel  ,2013,Sunday,georgia,clean rooms tasty breakfast helpful staff areg is a family run cozy place i have stayed there 2 times at first i booked it with an online booking system trusting the positive reviews and then the 2nd time i already knew where to stay the staff was very helpful i got a private wi fi device in my room i was calling them  no problem  as there was nothing they couldnt do for you oh  yes and i liked armenian boiled coffee in the nice yard  i dont know if the coffee was armenian or turkish  but they said so i will stay there again and again for sure,109,female
5,1/5/2013,Steen P,14   Reviews,solo,   areg hotel  ,2013,Saturday,denmark,business beer friends sights and more beer first day cheked in half a day before time was warmly wellcomed by ani 4am in the morning ani sold me nice and cold armenian beer there for only 600 drams pr ½ liter very nice twin room more clean then my own flat wonderfull view to mt ararat from the balcony great breakfast and beer served in the garden great help by the staff so the taxidrivers could not screew up the arrivaladdress  actually my armenian friends worried a lot about me without any reason because staff of hotel areg took so good care of me felt like the new boy in school the first day only  location was just great 7min and 35 sec later you are in the heart  rep sq at yerevan108 €      now i wonder why i needed the hilton and hyatt hotels before now i know hotel areg  will stay there again for sure if possible,159,male
4,1/7/2013,dialtone69,42   Reviews,solo,   areg hotel  ,2013,Tuesday,usa,"yerevan hideaway although this hotel is centrally located and only one metro stop from the city center or about a 20 minute walk it doesnt feel that way its tucked away on a quiet residential street behind the us embassy i was given a huge room with 3 beds even though i paid only the single person rate

beds arent soft so if you cant deal with a firm mattress this isnt your place it is typical in central asia and china for mattresses to be more firm though just keep this in mind

the room was clean almost everything worked air conditioning worked well and this is a wellrun place if a bit faded around the edges the rate reflects that the breakfast wasnt as generous as most armenian breakfasts just some bread butter cheese instant coffee or tea and low quality sausages a bit of a disappointment but hard to complain for the price charged

the lobby is well stocked with beers and refreshments and the pleasant courtyard is a very nice place to enjoy these 

i will try to respond to some of the negative comments other people have posted

 first of all remember where you are this is armenia not london given that the borders with this country are closed except to georgia and iran its almost petty to complain about the size of the hotel shampoos in this country some products are not readily available andalthough this hotel is centrally located and only one metro stop from the city center or about a 20 minute walk it doesnt feel that way its tucked away on a quiet residential street behind the us embassy i was given a huge room with 3 beds even though i paid only the single person ratebeds arent soft so if you cant deal with a firm mattress this isnt your place it is typical in central asia and china for mattresses to be more firm though just keep this in mindthe room was clean almost everything worked air conditioning worked well and this is a wellrun place if a bit faded around the edges the rate reflects that the breakfast wasnt as generous as most armenian breakfasts just some bread butter cheese instant coffee or tea and low quality sausages a bit of a disappointment but hard to complain for the price chargedthe lobby is well stocked with beers and refreshments and the pleasant courtyard is a very nice place to enjoy these i will try to respond to some of the negative comments other people have posted first of all remember where you are this is armenia not london given that the borders with this country are closed except to georgia and iran its almost petty to complain about the size of the hotel shampoos in this country some products are not readily available and you need to understand this and sometimes be glad that something is available at all its also important to consider what is appropriately friendly in a given culture armenians are reserved people they are not gregarious like americans people are not being rude if they maintain a bit of personal space this is just the culture so understanding it before you criticize it is important i didnt have any problems with hot water  on the other hand the hotel was not full and i stayed in the summer not sure whether the problem has been resolved or not but i didnt experience itafter a complimentary review and even feeling obligated to defend this hotel against some of the negative comments why didnt i rate this property excellent i am a very tough reviewer and everything has to be 100 perfect for me to give an excellent rating in my room the holder for the shower nozzle was broken so i had to prop it up on the soap rack in order to take a proper shower also i thought the breakfast could really have been better armenia is famous for very good food so it was a bit of a letdownwould i stay again very good means exactly that and i would not hesitate to stay again",693,unknown
5,1/7/2013,PrinceAbud,1 review,family,   areg hotel  ,2013,Monday,uae,dope at first we thought it was a wrong idea going to yerevan because of how we saw it and the people were not very hospitable but then thanks to areg and the whole team it turned out to be an amazing trip thanks to nvard who was our tour guide taking us around geghard garni and sevan etc without her our trip to armenia wouldve been boring if ever we go back to yerevan i  know which hotel to book without any doubt its the place to be the staff were very friendly and kind always there when you need them even after midnight i miss our trip there 3,111,unknown
4,1/6/2013,Mahya S,1 review,business,   areg hotel  ,2013,Tuesday,iran,areg hotel is the best we had 5 calm and peaceful nights in areg hotel its vicinity to the yerevans railway station made our commutation to the center of the city very convenient and cheap prices are lower compared to the other hotels placed near the center while i believe the  services provided are comparable since it is located a little bit far from the center it benefits from the silence and peacefulness of the yerevan the breakfast is served in the yard with the beautiful scenery of the apricot tree bearing fruits the rooms are very clean and comfortable the staffs are very nice always ready to help it would be certainly my first choice the next time i visit yerevan,122,female
5,1/5/2013,COK274873,3   Reviews,business,   areg hotel  ,2013,Monday,slovenia,they just continue to be the greatest whenever i am in yerevan on business i dont need to bother asking myself in which hotel i should stay areg has been and will continue to be my first choice and i dont plan to change it for any hotel next to the city centre which logistically would make more sense for my business clean and spacious rooms and easy access are its main advantages in terms of logistics you have an easy walk of about 5 minutes to the very reliable metro which runs every 5 minutes during the day and every 10 minutes during the evening this means that in order to go to the republic square from the hotel you dont waste more than 1520 minutes a 100 meters away from the hotel en route to the metro there is a decent market and several small shops where you can buy food drinks etc besides the comfort that areg offers you there is plenty of something else there which gives to the hotel an extra value  the infinite kindness and willingness to help i should emphasise that i have hundreds of thousands of miles of travel behind me and i can say that i have nowhere and never encountered such a friendly staff whatever you need they are there to help in such a sweet unassuming manner in addition what is most important in all those years i have stayed in yerevan the staffs approachwhenever i am in yerevan on business i dont need to bother asking myself in which hotel i should stay areg has been and will continue to be my first choice and i dont plan to change it for any hotel next to the city centre which logistically would make more sense for my business clean and spacious rooms and easy access are its main advantages in terms of logistics you have an easy walk of about 5 minutes to the very reliable metro which runs every 5 minutes during the day and every 10 minutes during the evening this means that in order to go to the republic square from the hotel you dont waste more than 1520 minutes a 100 meters away from the hotel en route to the metro there is a decent market and several small shops where you can buy food drinks etc besides the comfort that areg offers you there is plenty of something else there which gives to the hotel an extra value  the infinite kindness and willingness to help i should emphasise that i have hundreds of thousands of miles of travel behind me and i can say that i have nowhere and never encountered such a friendly staff whatever you need they are there to help in such a sweet unassuming manner in addition what is most important in all those years i have stayed in yerevan the staffs approach and attitude to their guest and the quality of hotel has not changed – it has improved a couple of rooms have already been refurbished improvements are seen also in the courtyard and there are further plans to renovate long and beautiful story short having stayed in so many hotels around the world i can safely recommend areg as your first choice if you find yourself in armenias capital in fact as you can see from the reviews below an impressive majority of visitors agree,569,male
4,1/3/2013,Philipp F,2   Reviews,family,   areg hotel  ,2013,Wednesday,switzerland,Good value and very friendly staff we stayed five nights in areg in march13 the rooms have been freshly renovated and are excellent value for the price  very spacious our kids loved the place it has its own little yard to play and rest the location is a bit away from the centre but quiet and peacefulthe best however is the very friendly staff  no matter what question you have or what problem is bothering you they will do whatever is in their power to help youif i come back to yerevan i certainly will stay there again,98,male
4,1/3/2013,RaheIsfahan,49   Reviews,family,   areg hotel  ,2013,Saturday,iran,a well placed budget hotel this hotel has a good location near the embassy of united states and is close to the monuments and historic parts of yerevan  but not less than 1 km  its near to metro stationother specifications of this hotel is its price which is affordable and its staff politeness and hospitalityover all you can have a comfortable and cheap stay there,65,unknown
4,1/1/2013,MalmesburyDave,345   Reviews,solo,   areg hotel  ,2013,Sunday,uk,true value it was a little over a year ago that i last stayed at the areg my return lived up to expectations this hotel is not the normal big city plastic all rooms identical devoid of warmth that one experiences so often when travelling no instead it is pure armenia the rooms are large and comfortable and offer all one needs in the form of heating aircon for the hot summer months bathroom and quality of bedding there is no breakfast menu it is after all a small family run armenian hotel and they see no need for such an item breakfast is basic but filling and i am certain that were one to ask it would prove possible to have fried poached or scrambled egg rather than the hard boiled variety that was the order of the day last january free wifi is on tap albeit not in all rooms i chose to sit in reception with a local lager and make contact with home i have to report that on my second night i noticed a leak emanating from the base of my in room toilet with no input from me all my possessions were moved to another room with the razor soaps toothbrush etc even being placed in the exact same order that was the layout in my first location a small act but indicative of how this family strive to please their guests yes the price atit was a little over a year ago that i last stayed at the areg my return lived up to expectations this hotel is not the normal big city plastic all rooms identical devoid of warmth that one experiences so often when travelling no instead it is pure armenia the rooms are large and comfortable and offer all one needs in the form of heating aircon for the hot summer months bathroom and quality of bedding there is no breakfast menu it is after all a small family run armenian hotel and they see no need for such an item breakfast is basic but filling and i am certain that were one to ask it would prove possible to have fried poached or scrambled egg rather than the hard boiled variety that was the order of the day last january free wifi is on tap albeit not in all rooms i chose to sit in reception with a local lager and make contact with home i have to report that on my second night i noticed a leak emanating from the base of my in room toilet with no input from me all my possessions were moved to another room with the razor soaps toothbrush etc even being placed in the exact same order that was the layout in my first location a small act but indicative of how this family strive to please their guests yes the price at the areg is true value and it is mere minutes from the metro the bus routes and the main train station you are not located in the city centre but not far from it and in a pleasing neighbour hood where personal safety is the order of the day,530,unknown
4,1/9/2012,PekkaMi,57   Reviews,couple,   areg hotel  ,2012,Sunday,finland,peaceful and clean we stayed two nights in areg in september 12 it is easy to recommend this hotel the staff was helpful the double room clean and very spacious the breakfast ok and the hotel was very peaceful the receptionist borrowed as the needed coins to buy metro tickets as we arrived to the hotel with no local moneythe hotel is situated not in the center of yerevan there is a 2030 minutes walk thereto  the closest metro station there is a 78 minutes walk,86,unknown
5,1/6/2012,Liza M,1 review,family,   areg hotel  ,2012,Saturday,sweden,wonderful memories from areg hotel me and my son was in armenia last summer and we stayed in areg hotel i want to give areg hotel best recommendation for their kindness hospitality friendly staff and for the good service they gave us a wonderful tours in whole armenia and they also gave my son the wonderful birthday memory when all staff offered him a trip to sevan lake areg hotel will be our second home in armenia many many many thanks see you soon ,84,female
2,1/9/2012,hamid m,4   Reviews,couple,   areg hotel  ,2012,Monday,usa,not recommended you can find way better hotel with this price consnot a good locationno hairdryer in roomsdo toothbrushcoarse towelsdid not put shampoo and soap when they cleanedvery small shampoos hardly enough for one personnot a very good breakfastnot water bottle in roomsno cleaning tissue in roomsbilliards table was under repairprosfamilyrunaccept dollarsdelicious apricot marmalade in breakfastairconditioning in rooms,58,male
5,1/9/2011,reza j,1 review,solo,   areg hotel  ,2012,Friday,japan,nice memories from areg hotel i had a travel to armenia yerevan around 4 years ago my first travel out of my country and i will never forget that the hotel had a nice environment and the staffs were friendly and the service was perfect i never forget their hospitality and i wish to travel there again,57,male
5,1/8/2012,Georgi k,2   Reviews,couple,   areg hotel  ,2012,Friday,georgia,lovely little hotel we had a  stop in this lovely hotel for some days before taking the train to georgia we arrived early in the morning and though they did not have a double room free  the check in was at 1400 we got a family big room to have rest and to take shower  the staff was very friendly and helfull during this short stop we felt like in a family thanks for the warm hospitality hope to go back again,82,male
3,1/6/2012,FlannoUk,126   Reviews,solo,   areg hotel  ,2012,Thursday,uk,no complaints but i wasnt bowled over by this place honestly  i dont know what it was but i wasnt bowled over by this place my room was clean  spacious and had all that i required one problem was that there was 2 doors mind  one which showed wear  tear  the other which i had to jam shut as there was no lock no hot water was a minor grumble breakfast was fine if you werent going on a morning tour mind as it was between 9  1030 staff were in the main friendly  helpful location was safe and quiet i cant say it was bad value  it certainly wasnt it would certainly tick all the boxes  and id probably stay there again  however i left there feeling there was something missing,132,unknown
5,1/6/2012,Musil100,4   Reviews,solo,   areg hotel  ,2012,Saturday,uk,little gem this is a fantastic little hotel i stayed here twice whilst in armenia the rooms are spacious and very clean the breakfasts are hugebut most of all the staff are incredibly helpful and speak english and russian fluently nvard was so kind as to even organise all my hotel stays and transport around the north of armenia during my stay i will definitely stay here again on subsequent trips to this amazing country and i would advise others to do the same rob from london,87,male
3,1/1/2012,MalmesburyDave,345   Reviews,solo,   areg hotel  ,2012,Monday,uk,"very good value it is always difficult in any capital city to locate a clean safe and inexpensive hotel i booked the areg it met all i required arriving at gone midnight on a cold snowy night i was taken across the courtyard to find that my single room contained a double and a single bed the bathroom was in keeping with the rest of the room basic but clean and tidy it was also nice to find that the room was warm and lacked for little it was not all perfection breakfast is from 9am i was told the look in my face must have hit a nerve as the lady announced that she could in fact cater for an earlier time should i wish we settled on 0815 but i was surprised that the door that led back into the main hotel area was locked until 0815 i did a few circular walks around the courtyard 
breakfast was fairly basic hard boiled eggs cheese salami bread and jams with tea or coffee it was adequate and set me up for my drive to karabakh when i came to pay my bill was 5 less than i had been quoted by a uk booking agent i tried to pay the expected sum mindful of what must have been a room upgrade but there was no way the charming staff would accept even a tip yes the areg is 10 mins out ofit is always difficult in any capital city to locate a clean safe and inexpensive hotel i booked the areg it met all i required arriving at gone midnight on a cold snowy night i was taken across the courtyard to find that my single room contained a double and a single bed the bathroom was in keeping with the rest of the room basic but clean and tidy it was also nice to find that the room was warm and lacked for little it was not all perfection breakfast is from 9am i was told the look in my face must have hit a nerve as the lady announced that she could in fact cater for an earlier time should i wish we settled on 0815 but i was surprised that the door that led back into the main hotel area was locked until 0815 i did a few circular walks around the courtyard breakfast was fairly basic hard boiled eggs cheese salami bread and jams with tea or coffee it was adequate and set me up for my drive to karabakh when i came to pay my bill was 5 less than i had been quoted by a uk booking agent i tried to pay the expected sum mindful of what must have been a room upgrade but there was no way the charming staff would accept even a tip yes the areg is 10 mins out of town but the metro is adjacent and a cab to the centre is less than 2 a most pleasant small but clean and well run hotel it will not disappoint",512,unknown
3,1/12/2010,Sahand K,1 review,solo,   areg hotel  ,2011,Tuesday,iran,my review i spent about 3 or 4 night at areg hotel about 2 years ago this is my points of view about that periodgood points1 it is not located near the populated or commercial centers so ambient is relatively calm2 it is near a metro station which i think was named  sasoonadavit 3 the crews were very friendly and experienced there was one girl named nvard who could speak english russian and a little persian 4 they had one day tours with exceptional prices 3 good breakfastsbad points1 the area it is located in is not very chic 2 the furnichures were a little old fashioned and also the building itself3 at the time i went there there were some reconstruction operations which made some noises 4 in armenia 98 percent of works are done by women as a result some furnichures needed fixing,145,male
5,1/9/2011,Kevork T,1 review,solo,   areg hotel  ,2011,Monday,usa,great hospitality great service nice staff convenient locationareg hotel if you wanted to be treated like family you should book areg hotel on your next visit to yerevan i know i will  the wonderful staff members treated me like family  on my first night in yerevan my checkin wasnt until 1230 pm but the manager kindly admitted me at 200 am in the morning the prior day  how many hotels would do that for you  instead of spending the night at the zvartnots airport in yerevan i had a wonderful armenian family drive me to areg hotel at 2 in the morning where i was greeted and welcomed  yes my room wasnt ready but the wonderful manager made me a bed in the lobby to sleep as well as coffee and a meal  again areg hotel is part of my family now for doing such a thing the staff have big and kind hearts made of gold  the service was excellent the location was great not to far from the metro stationabout 2 blocks near sassoon davit the room i stayed in was very clean not to mention huge and had 2 beds a working tv with cable free wifi although signal was best in the lobby and a refrigerator  the shower worked very well with fulltime hot water and had clean towels  i had a wonderful expereince during the week of september 26 2011 no complaints at all i would definitely go back  i have another trip toif you wanted to be treated like family you should book areg hotel on your next visit to yerevan i know i will  the wonderful staff members treated me like family  on my first night in yerevan my checkin wasnt until 1230 pm but the manager kindly admitted me at 200 am in the morning the prior day  how many hotels would do that for you  instead of spending the night at the zvartnots airport in yerevan i had a wonderful armenian family drive me to areg hotel at 2 in the morning where i was greeted and welcomed  yes my room wasnt ready but the wonderful manager made me a bed in the lobby to sleep as well as coffee and a meal  again areg hotel is part of my family now for doing such a thing the staff have big and kind hearts made of gold  the service was excellent the location was great not to far from the metro stationabout 2 blocks near sassoon davit the room i stayed in was very clean not to mention huge and had 2 beds a working tv with cable free wifi although signal was best in the lobby and a refrigerator  the shower worked very well with fulltime hot water and had clean towels  i had a wonderful expereince during the week of september 26 2011 no complaints at all i would definitely go back  i have another trip to yerevan planed in february of 2012 and will visit areg again of course  nothing about this hotel was bad everything was perfect the staff will care for you a lot  the breakfast was the best hotel breakfast by far and im from the united states  the best eggs bread and cheese not to mention coffee and tea  god bless the staff at areg hotel forever in my heart and mind  kevork tanossian fresno california usa,563,male
4,1/8/2011,Armig D,1 review,friends,   areg hotel  ,2011,Thursday,lebanon,great experience i stayed at areg hotel for 15 days in august 2011 the room rate was very affordable compared to the quality of room and services that they provide i traveled to gharapagh and in my return i stayed again at areg hotel the location was great very calm relaxing and friendly staff always welcoming and helpful metro station is 2 min walk from the hotel supermarkets exchange shops and more are close too it was a nice experience i adviced all my friends and family members to stay at this hotel and i personally whenever will go to armenia will not stay except at this hotel ,108,female
2,1/10/2011,kraor,170   Reviews,solo,   areg hotel  ,2011,Tuesday,usa,unkind service rooms out of the twilight zone this hotel is located about 3 km from republic square just two blocks from railway station with public transportthe hotel is at the end of a side street in offset part of town in which some people didnt knowe of itjust keep in mind that its located up the street from the railway station the rooms at this hotel are large with refrigerator the bathroom is outside your room in another room outside which looks like youve entered somebodys old housethere are rooms across the courtyard of the hotel as well in which access to bathrooms are in another corridorthe rooms were somewhat clean the maid service is every other day unless you request it there is a heaterair conditioning the gals at the lobby always looked like theyre depressed or tired they dont serve breakfast until 9 am so if youre an early bird youll be waiting around the front staff will make your feel like you owe them an apology for asking about breakfast at 815 am in the morning in which they were sleepingthey have a tour desk so they tell you the rates have breakfast which was eggs  toast cereal coffee  teathe lobby has a fridge in which they sell soft drinkswater  beer grab an ararat beer then just unwind in this place as the staff is uptightthis a reasonably priced hotel thats good for just a couple of nights then move onwardsthis hotel is located about 3 km from republic square just two blocks from railway station with public transportthe hotel is at the end of a side street in offset part of town in which some people didnt knowe of itjust keep in mind that its located up the street from the railway station the rooms at this hotel are large with refrigerator the bathroom is outside your room in another room outside which looks like youve entered somebodys old housethere are rooms across the courtyard of the hotel as well in which access to bathrooms are in another corridorthe rooms were somewhat clean the maid service is every other day unless you request it there is a heaterair conditioning the gals at the lobby always looked like theyre depressed or tired they dont serve breakfast until 9 am so if youre an early bird youll be waiting around the front staff will make your feel like you owe them an apology for asking about breakfast at 815 am in the morning in which they were sleepingthey have a tour desk so they tell you the rates have breakfast which was eggs  toast cereal coffee  teathe lobby has a fridge in which they sell soft drinkswater  beer grab an ararat beer then just unwind in this place as the staff is uptightthis a reasonably priced hotel thats good for just a couple of nights then move onwards there are others out there with better service  location,490,unknown
5,1/10/2011,Kai S,35   Reviews,business,   areg hotel  ,2011,Wednesday,switzerland,you get more than you pay for in this friendly hotel you get much more than you pay for i stayed here for 10 nights and i really came to like it the staff is very friendly rooms are clean they were nice enough to arrange a room for us upon early arrival and only charged us half of the cost sure it is a bit outside town but with 2 stops on the subway or 600 about a euro for a taxi this is not far awaysince i was too late and alone i did not use their tour service but looking back at it their prices on that tour was really good i paid more or less the same doing the tour with local transports and then i didnt get a guide which they includewhen i go back to yerevan i will do my best to book this hotel again,152,male
